gene,log2FC,p_value
ENSG00000003756,0.17717145270215776,0.0525905370578735
ENSG00000003987,-0.3407914698646167,0.012360816624669757
ENSG00000003989,-0.2500885071455612,9.373981736080037e-05
ENSG00000004059,-0.08323040486313643,0.13484846725271432
ENSG00000004139,-0.04241245524786237,0.5248418266012294
ENSG00000004142,-0.028688637536271384,0.5166329227000088
ENSG00000004399,0.21983845974917876,3.44253459596718e-05
ENSG00000004455,-0.08274395950565619,0.1612298004409549
ENSG00000004468,0.15602937831481972,0.33516903882758775
ENSG00000004478,0.06311083468285324,0.28608441872368034
ENSG00000004487,-0.029677035620159727,0.372849763343697
ENSG00000004534,0.245759314326693,0.0038411459851416833
ENSG00000004660,-0.10199456883642198,0.6616568392244898
ENSG00000004700,0.01580838584018292,0.783620141464917
ENSG00000004766,-0.06644863377150202,0.22187261931947513
ENSG00000004776,-0.1113473843785129,0.4660274635556383
ENSG00000004777,-0.1950827434621428,0.12420534231177283
ENSG00000004779,-0.17020455702674514,0.005336607925303502
ENSG00000004799,0.4455518571012096,2.4877232565734746e-05
ENSG00000004809,,0.2820222029215174
ENSG00000004838,0.21123380350843035,0.3300536608223059
ENSG00000004846,0.08319341652183114,0.5115780475330114
ENSG00000004848,-0.11528153642567997,0.7546685125895365
ENSG00000004864,0.14689624020824757,0.002546846886762528
ENSG00000004866,-0.11948650673043716,0.0107837525607691
ENSG00000004897,0.007124910385762896,0.8829022333903954
ENSG00000004939,,0.010017697810805967
ENSG00000004948,-0.5000756366770215,0.19745948486161374
ENSG00000004961,-0.19413934806863495,0.002934630907824605
ENSG00000004975,0.006743822633702909,0.9059191075415557
ENSG00000005001,-0.11302247656229676,0.5877445433185814
ENSG00000005007,0.11209523530020896,0.027047628638149673
ENSG00000005020,0.138970630658895,0.030260816120416884
ENSG00000005022,0.03064147251429453,0.42555535292658164
ENSG00000005059,0.06860163459612263,0.5776813328193511
ENSG00000005073,-0.012244079188865727,0.8953310956835348
ENSG00000005075,-0.2289498486947772,0.0027105334376671883
ENSG00000005100,0.02358281159394449,0.6775471630395742
ENSG00000005102,0.42331557254227226,0.014167005554065535
ENSG00000005108,0.5723117518348706,3.674272104638627e-10
ENSG00000005156,0.004392261435735177,0.9032715280730347
ENSG00000005175,-0.13337613507814414,0.018654753204866995
ENSG00000005187,-0.06845641558263217,0.40367719760191434
ENSG00000005189,0.05699588886696501,0.5158210315111613
ENSG00000005194,-0.05574068665733104,0.41716416907993437
ENSG00000005206,0.03828762980686151,0.6636728452831336
